"a.date","a.time"
"2011-04-20","13:26:02"
"2011-04-20","13:56:02"
"2012-04-10","05:41:00"
"2011-04-20","14:26:02"
"2011-04-20","14:56:02"
"2011-04-20","15:26:02"
"2011-04-20","15:56:02"
"2011-04-20","16:26:02"
"2011-04-20","16:56:02"
"2011-04-20","17:26:02"
"2011-04-20","17:56:02"
"2011-04-20","18:26:02"
"2011-04-20","18:56:02"
"2011-04-20","19:26:02"
"2011-04-20","19:56:02"
"2011-04-20","20:26:02"
"2011-04-20","20:56:02"
"2011-04-20","21:26:02"
"2011-04-20","21:56:02"
"2011-04-20","22:26:02"
"2011-04-20","22:56:02"
"2011-04-20","23:26:02"
"2011-04-20","11:56:02"
"2011-04-20","23:56:02"
"2011-04-20","11:56:36"
"2011-04-20","12:26:02"
"2011-04-20","12:56:02"
"2011-04-21","01:26:02"
"2011-04-21","13:26:02"
"2011-04-21","01:56:02"
"2011-04-21","13:56:02"
"2011-04-21","02:26:02"
"2011-04-21","14:26:02"
"2011-04-21","02:56:02"
"2011-04-21","14:56:02"
"2011-04-21","03:26:02"
"2011-04-21","15:26:02"
"2011-04-21","03:56:02"
"2011-04-21","15:56:02"
"2011-04-21","04:26:02"
"2011-04-21","16:26:02"
"2011-04-21","04:56:02"
"2011-04-21","16:56:02"
"2011-04-21","05:26:02"
"2011-04-21","17:26:02"
"2011-04-21","05:56:02"
"2011-04-21","17:56:02"
"2011-04-21","06:26:02"
"2011-04-21","18:26:02"
"2011-04-21","06:56:02"
"2011-04-21","18:56:02"
"2011-04-21","07:26:02"
"2011-04-21","19:26:02"
"2011-04-21","07:56:02"
"2011-04-21","19:56:02"
"2011-04-21","08:26:02"
"2011-04-21","20:26:02"
"2011-04-21","08:56:02"
"2011-04-21","20:56:02"
"2011-04-21","09:26:02"
"2011-04-21","21:26:02"
"2011-04-21","09:56:02"
"2011-04-21","21:56:02"
"2011-04-21","10:26:02"
"2011-04-21","22:26:02"
"2011-04-21","10:56:02"
"2011-04-21","22:56:02"
"2011-04-21","11:26:02"
"2011-04-21","23:26:02"
"2011-04-21","11:56:02"
"2011-04-21","23:56:02"
"2011-04-21","00:26:02"
"2011-04-21","12:26:02"
"2011-04-21","00:56:02"
"2011-04-21","12:56:02"
"2011-04-22","01:26:02"
"2011-04-22","13:26:02"
"2011-04-22","01:56:02"
"2011-04-22","13:56:02"
"2011-04-22","02:26:02"
"2011-04-22","14:26:02"
"2011-04-22","02:56:02"
"2011-04-22","14:56:02"
"2011-04-22","03:26:02"
"2011-04-22","15:26:02"
"2011-04-22","03:56:02"
"2011-04-22","15:56:02"
"2011-04-22","04:26:02"
"2011-04-22","16:26:02"
"2011-04-22","04:56:02"
"2011-04-22","16:56:02"
"2011-04-22","05:26:02"
"2011-04-22","17:26:02"
"2011-04-22","05:56:02"
"2011-04-22","17:56:02"
"2011-04-22","06:26:02"
"2011-04-22","18:26:02"
"2011-04-22","06:56:02"
"2011-04-22","18:56:02"
"2011-04-22","07:26:02"
"2011-04-22","19:26:02"
"2011-04-22","07:56:02"
"2011-04-22","19:56:02"
"2011-04-22","08:26:02"
"2011-04-22","20:26:02"
"2011-04-22","08:56:02"
"2011-04-22","20:56:02"
"2011-04-22","09:26:02"
"2011-04-22","21:26:02"
"2011-04-22","09:56:02"
"2011-04-22","21:56:02"
"2011-04-22","10:26:02"
"2011-04-22","22:26:02"
"2011-04-22","10:56:02"
"2011-04-22","22:56:02"
"2011-04-22","11:26:02"
"2011-04-22","23:26:02"
"2011-04-22","11:56:02"
"2011-04-22","23:56:02"
"2011-04-22","00:26:02"
"2011-04-22","12:26:02"
"2011-04-22","00:56:02"
"2011-04-22","12:56:02"
"2011-04-23","01:26:02"
"2011-04-23","13:26:02"
"2011-04-23","01:56:02"
"2011-04-23","13:56:02"
"2011-04-23","02:26:02"
"2011-04-23","14:26:02"
"2011-04-23","02:56:02"
"2011-04-23","14:56:02"
"2011-04-23","03:26:02"
"2011-04-23","15:26:02"
"2011-04-23","03:56:02"
"2011-04-23","15:56:02"
"2011-04-23","04:26:02"
"2011-04-23","16:26:02"
"2011-04-23","04:56:02"
"2011-04-23","16:56:02"
"2011-04-23","05:26:02"
"2011-04-23","17:26:02"
"2011-04-23","05:56:02"
"2011-04-23","17:56:02"
"2011-04-23","06:26:02"
"2011-04-23","18:26:02"
"2011-04-23","06:56:02"
"2011-04-23","18:56:02"
"2011-04-23","07:26:02"
"2011-04-23","19:26:02"
"2011-04-23","07:56:02"
"2011-04-23","19:56:02"
"2011-04-23","08:26:02"
"2011-04-23","20:26:02"
"2011-04-23","08:56:02"
"2011-04-23","20:56:02"
"2011-04-23","09:26:02"
"2011-04-23","21:26:02"
"2011-04-23","09:56:02"
"2011-04-23","21:56:02"
"2011-04-23","10:26:02"
"2011-04-23","22:26:02"
"2011-04-23","10:56:02"
"2011-04-23","22:56:02"
"2011-04-23","11:26:02"
"2011-04-23","23:26:02"
"2011-04-23","11:56:02"
"2011-04-23","23:56:02"
"2011-04-23","00:26:02"
"2011-04-23","12:26:02"
"2011-04-23","00:56:02"
"2011-04-23","12:56:02"
"2011-04-24","01:26:02"
"2011-04-24","13:26:02"
"2011-04-24","01:56:02"
"2011-04-24","13:56:02"
"2011-04-24","02:26:02"
"2011-04-24","14:26:02"
"2011-04-24","02:56:02"
"2011-04-24","14:56:02"
"2011-04-24","03:26:02"
"2011-04-24","15:26:02"
"2011-04-24","03:56:02"
"2011-04-24","15:56:02"
"2011-04-24","04:26:02"
"2011-04-24","16:26:02"
"2011-04-24","04:56:02"
"2011-04-24","16:56:02"
"2011-04-24","05:26:02"
"2011-04-24","17:26:02"
"2011-04-24","05:56:02"
"2011-04-24","17:56:02"
"2011-04-24","06:26:02"
"2011-04-24","18:26:02"
"2011-04-24","06:56:02"
"2011-04-24","18:56:02"
"2011-04-24","07:26:02"
"2011-04-24","19:26:02"
"2011-04-24","07:56:02"
"2011-04-24","19:56:02"
"2011-04-24","08:26:02"
"2011-04-24","20:26:02"
"2011-04-24","08:56:02"
"2011-04-24","20:56:02"
"2011-04-24","09:26:02"
"2011-04-24","21:26:02"
"2011-04-24","09:56:02"
"2011-04-24","21:56:02"
"2011-04-24","10:26:02"
"2011-04-24","22:26:02"
"2011-04-24","10:56:02"
"2011-04-24","22:56:02"
"2011-04-24","11:26:02"
"2011-04-24","23:26:02"
