"a._id","a._parent","a.author","a.date","a.location","a.id_arbre","a.taxon","a.note"
1,null,"J.-L. Smock","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-310","Hebepetalum humiriifolium (Planch.) Benth.",null
3,null,"J.-L. Smock","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-318","Manilkara bidentata (A.DC.) A.Chev.",null
5,null,"J.-L. Smock","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-320","Chrysophyllum sanguinolentum (Pierre) Baehni",null
6,null,"J.-L. Smock","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-362","Pouteria ambelaniifolia (Sandwith) T.D.Penn.",null
8,null,"J.-L. Smock","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-322","Chrysophyllum sanguinolentum (Pierre) Baehni",null
10,null,"J.-L. Smock","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-334","Tetragastris hostmannii (Engl.) Kuntze",null
13,null,"J.-L. Smock","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-335","Couratari calycina Sandwith",null
15,null,"J.-L. Smock","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-342","Licaria cannella (Meisn.) Kosterm.",null
18,null,"J.-L. Smock","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-363","Swartzia leblondii R.S.Cowan",null
20,null,"J.-L. Smock","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-365","Tetragastris panamensis (Engl.) Kuntze",null
21,null,"J.-L. Smock","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-368","Parinari campestris Aubl.",null
23,null,"J.-L. Smock","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-371","Chrysophyllum sanguinolentum (Pierre) Baehni",null
25,null,"J.-L. Smock","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-377","Helicostylis tomentosa (Poepp. & Endl.) Rusby",null
26,null,"J.-L. Smock","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-385","Sloanea sp. 22 AMAP-IRD",null
28,null,"J.-L. Smock","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-378","Manilkara bidentata (A.DC.) A.Chev.",null
